config,retriever,prefix,item_name,n,informative_rate,none_rate,ambiguous_rate
L0_CORE,bm25,budget,Appetite,209,0.03827751196172249,0.9521531100478469,0.009569377990430622
L0_CORE,bm25,budget,Concentrating,217,0.12903225806451613,0.7880184331797235,0.08294930875576037
L0_CORE,bm25,budget,Depressed,209,0.4784688995215311,0.44019138755980863,0.08133971291866028
L0_CORE,bm25,budget,Failure,219,0.3789954337899543,0.5707762557077626,0.0502283105022831
L0_CORE,bm25,budget,Moving,219,0.0776255707762557,0.9178082191780822,0.0045662100456621
L0_CORE,bm25,budget,NoInterest,219,0.2557077625570776,0.7123287671232876,0.0319634703196347
L0_CORE,bm25,budget,Sleep,219,0.4383561643835616,0.5342465753424658,0.0273972602739726
L0_CORE,bm25,budget,Tired,219,0.4063926940639269,0.5570776255707762,0.0365296803652968
L0_CORE,bm25,top3,Appetite,209,0.05263157894736842,0.937799043062201,0.009569377990430622
L0_CORE,bm25,top3,Concentrating,217,0.1382488479262673,0.7603686635944701,0.10138248847926268
L0_CORE,bm25,top3,Depressed,209,0.5167464114832536,0.3923444976076555,0.09090909090909091
L0_CORE,bm25,top3,Failure,219,0.4018264840182648,0.547945205479452,0.0502283105022831
L0_CORE,bm25,top3,Moving,219,0.0547945205479452,0.9406392694063926,0.0045662100456621
L0_CORE,bm25,top3,NoInterest,219,0.2465753424657534,0.7214611872146118,0.0319634703196347
L0_CORE,bm25,top3,Sleep,219,0.45662100456621,0.5068493150684932,0.0365296803652968
L0_CORE,bm25,top3,Tired,219,0.4246575342465753,0.5251141552511416,0.0502283105022831
L0_CORE,bm25,top5,Appetite,209,0.0430622009569378,0.9425837320574163,0.014354066985645933
L0_CORE,bm25,top5,Concentrating,217,0.1382488479262673,0.7557603686635944,0.10599078341013825
L0_CORE,bm25,top5,Depressed,209,0.4880382775119617,0.41626794258373206,0.09569377990430622
L0_CORE,bm25,top5,Failure,219,0.4657534246575342,0.4611872146118721,0.0730593607305936
L0_CORE,bm25,top5,Moving,219,0.045662100456621,0.9406392694063926,0.0136986301369863
